CustomerID,R,F,M,R_score,F_score,M_score,RFM总得分,用户分层标签
12394.0,62,2,1272.48,3,2,4,9,忠实复购客户
12395.0,18,12,3018.63,4,5,5,14,高价值客户
12397.0,34,2,2409.9,3,2,5,10,忠实复购客户
12398.0,44,1,1635.66,3,1,4,8,沉睡预警客户
12399.0,118,4,1108.65,2,4,4,10,忠实复购客户
12401.0,302,1,84.3,1,1,1,3,流失低价值客户
12402.0,322,1,225.6,1,1,1,3,流失低价值客户
12403.0,48,1,427.7,3,1,2,6,沉睡预警客户
12405.0,147,1,1710.39,2,1,4,7,沉睡预警客户
12406.0,21,2,3415.3,4,2,5,11,忠实复购客户
12407.0,48,5,1708.12,3,4,4,11,忠实复购客户
12408.0,31,5,2888.55,4,4,5,13,高价值客户
12409.0,77,3,11072.67,2,3,5,10,忠实复购客户
12410.0,307,2,693.33,1,2,3,6,沉睡预警客户
12412.0,73,3,1226.88,2,3,4,9,忠实复购客户
12413.0,65,3,758.1,3,3,3,9,忠实复购客户
12414.0,216,3,562.41,1,3,3,7,沉睡预警客户
12415.0,23,21,124914.53,4,5,5,14,高价值客户
12417.0,2,9,3649.1,5,5,5,15,高价值客户
12418.0,111,1,668.58,2,1,3,6,沉睡预警客户
12420.0,62,1,600.39,3,1,3,7,沉睡预警客户
12421.0,14,4,807.04,4,4,3,11,忠实复购客户
12422.0,94,3,803.5600000000001,2,3,3,8,沉睡预警客户
12423.0,-1,8,1859.31,5,5,4,14,高价值客户
12424.0,161,2,1760.96,2,2,4,8,沉睡预警客户
12425.0,77,1,777.2,2,1,3,6,沉睡预警客户
12426.0,193,1,582.73,1,1,3,5,流失低价值客户
12427.0,20,3,825.8,4,3,3,10,忠实复购客户
12428.0,24,9,7956.46,4,5,5,14,高价值客户
12429.0,8,4,3750.4,5,4,5,14,高价值客户
12430.0,42,1,256.4,3,1,2,6,沉睡预警客户
12431.0,34,15,6487.45,3,5,5,13,高价值客户
12432.0,41,5,5059.32,3,4,5,12,高价值客户
12433.0,-1,7,13375.87,5,5,5,15,高价值客户
12434.0,83,2,806.14,2,2,3,7,沉睡预警客户
12435.0,78,2,7829.89,2,2,5,9,忠实复购客户
12436.0,98,1,509.0100000000001,2,1,3,6,沉睡预警客户
12437.0,0,18,4951.41,5,5,5,15,高价值客户
12438.0,13,2,2906.85,4,2,5,11,忠实复购客户
12441.0,365,1,173.55,1,1,1,3,流失低价值客户
12442.0,2,1,172.06,5,1,1,7,沉睡预警客户
12444.0,20,5,5005.46,4,4,5,13,高价值客户
12445.0,21,1,133.4,4,1,1,6,沉睡预警客户
12446.0,56,1,1002.31,3,1,4,8,沉睡预警客户
12447.0,242,1,476.49,1,1,2,4,流失低价值客户
12448.0,43,1,449.45,3,1,2,6,沉睡预警客户
12449.0,21,4,4067.29,4,4,5,13,高价值客户
12450.0,155,2,197.88,2,2,1,5,流失低价值客户
12451.0,9,5,9035.52,5,4,5,14,高价值客户
12452.0,15,2,430.57,4,2,2,8,沉睡预警客户
12453.0,133,1,707.09,2,1,3,6,沉睡预警客户
12454.0,55,1,3528.34,3,1,5,9,忠实复购客户
12455.0,72,6,2466.86,2,4,5,11,忠实复购客户
12456.0,43,3,3181.04,3,3,5,11,忠实复购客户
12457.0,65,7,2363.23,3,5,5,13,高价值客户
12458.0,70,2,947.4,3,2,4,9,忠实复购客户
12461.0,93,2,826.88,2,2,3,7,沉睡预警客户
12462.0,17,2,1189.59,4,2,4,10,忠实复购客户
12463.0,52,4,1344.78,3,4,4,11,忠实复购客户
12464.0,9,8,1212.05,5,5,4,14,高价值客户
12465.0,16,2,742.1899999999999,4,2,3,9,忠实复购客户
12468.0,186,2,729.5400000000001,1,2,3,6,沉睡预警客户
12471.0,1,30,19824.05,5,5,5,15,高价值客户
12472.0,31,7,6572.11,4,5,5,14,高价值客户
12473.0,28,5,3938.55,4,4,5,13,高价值客户
12474.0,16,18,7375.79,4,5,5,14,高价值客户
12475.0,52,1,723.38,3,1,3,7,沉睡预警客户
12476.0,14,11,6816.42,4,5,5,14,高价值客户
12477.0,21,6,13219.74,4,4,5,13,高价值客户
12478.0,2,1,680.99,5,1,3,9,忠实复购客户
12479.0,10,1,527.2,5,1,3,9,忠实复购客户
12480.0,27,4,3281.63,4,4,5,13,高价值客户
12481.0,21,10,5596.32,4,5,5,14,高价值客户
12483.0,16,8,2484.98,4,5,5,14,高价值客户
12484.0,31,6,4541.72,4,4,5,13,高价值客户
12488.0,8,3,1298.66,5,3,4,12,高价值客户
12489.0,335,1,334.93,1,1,2,4,流失低价值客户
12490.0,4,10,5417.93,5,5,5,15,高价值客户
12491.0,37,1,460.4,3,1,2,6,沉睡预警客户
12492.0,62,2,263.21000000000004,3,2,2,7,沉睡预警客户
12493.0,164,2,433.74,2,2,2,6,沉睡预警客户
12494.0,14,7,1246.1,4,5,4,13,高价值客户
12497.0,80,1,1043.1,2,1,4,7,沉睡预警客户
12498.0,20,3,403.7000000000001,4,3,2,9,忠实复购客户
12500.0,22,11,4257.82,4,5,5,14,高价值客户
12501.0,335,1,2169.39,1,1,5,7,沉睡预警客户
12502.0,94,5,3723.87,2,4,5,11,忠实复购客户
12504.0,17,2,482.05,4,2,2,8,沉睡预警客户
12506.0,231,1,73.5,1,1,1,3,流失低价值客户
12507.0,133,3,1304.81,2,3,4,9,忠实复购客户
12508.0,25,2,398.27,4,2,2,8,沉睡预警客户
12509.0,283,1,176.5,1,1,1,3,流失低价值客户
12510.0,141,2,982.57,2,2,4,8,沉睡预警客户
12512.0,65,2,138.03,3,2,1,6,沉睡预警客户
12513.0,111,1,612.29,2,1,3,6,沉睡预警客户
12514.0,266,1,1017.68,1,1,4,6,沉睡预警客户
12515.0,352,1,383.7,1,1,2,4,流失低价值客户
12516.0,76,2,1312.06,2,2,4,8,沉睡预警客户
12517.0,27,5,2502.84,4,4,5,13,高价值客户
12518.0,-1,5,2056.89,5,4,4,13,高价值客户
12519.0,62,1,340.84,3,1,2,6,沉睡预警客户
12520.0,78,5,2634.26,2,4,5,11,忠实复购客户
12521.0,141,1,599.68,2,1,3,6,沉睡预警客户
12522.0,38,2,192.72,3,2,1,6,沉睡预警客户
12523.0,18,11,1789.77,4,5,4,13,高价值客户
12524.0,8,8,4485.72,5,5,5,15,高价值客户
12526.0,-1,3,1316.66,5,3,4,12,高价值客户
12527.0,80,3,348.71000000000004,2,3,2,7,沉睡预警客户
12528.0,8,6,1933.48,5,5,4,14,高价值客户
12530.0,58,4,1662.28,3,4,4,11,忠实复购客户
12531.0,13,1,125.22,4,1,1,6,沉睡预警客户
12532.0,29,1,349.83000000000004,4,1,2,7,沉睡预警客户
12534.0,129,1,1089.18,2,1,4,7,沉睡预警客户
12535.0,90,2,716.35,2,2,3,7,沉睡预警客户
12536.0,42,3,12601.83,3,3,5,11,忠实复购客户
12538.0,28,1,363.95,4,1,2,7,沉睡预警客户
12539.0,21,4,5568.35,4,4,5,13,高价值客户
12540.0,18,17,13400.24,4,5,5,14,高价值客户
12541.0,28,3,981.18,4,3,4,11,忠实复购客户
12544.0,35,1,372.7,3,1,2,6,沉睡预警客户
12545.0,74,2,1000.39,2,2,4,8,沉睡预警客户
12546.0,45,2,1161.5,3,2,4,9,忠实复购客户
12547.0,196,2,207.8,1,2,1,4,流失低价值客户
12548.0,165,1,95.2,2,1,1,4,流失低价值客户
12550.0,78,1,964.83,2,1,4,7,沉睡预警客户
12551.0,356,1,168.0,1,1,1,3,流失低价值客户
12552.0,37,2,437.82,3,2,2,7,沉睡预警客户
12553.0,7,10,3692.28,5,5,5,15,高价值客户
12556.0,49,2,603.71,3,2,3,8,沉睡预警客户
12557.0,15,5,11990.96,4,4,5,13,高价值客户
12558.0,6,1,269.96,5,1,2,8,沉睡预警客户
12559.0,309,2,561.71,1,2,3,6,沉睡预警客户
12560.0,4,3,2134.01,5,3,5,13,高价值客户
12561.0,301,1,238.85,1,1,1,3,流失低价值客户
12562.0,7,7,3781.74,5,5,5,15,高价值客户
12564.0,260,1,456.9,1,1,2,4,流失低价值客户
12565.0,287,1,145.92,1,1,1,3,流失低价值客户
12566.0,85,1,351.65,2,1,2,5,流失低价值客户
12567.0,21,10,9401.28,4,5,5,14,高价值客户
12569.0,1,32,4124.69,5,5,5,15,高价值客户
12571.0,38,2,519.61,3,2,3,8,沉睡预警客户
12572.0,7,2,1020.42,5,2,4,11,忠实复购客户
12573.0,226,1,160.54,1,1,1,3,流失低价值客户
12574.0,314,1,218.45,1,1,1,3,流失低价值客户
12576.0,34,5,1315.83,3,4,4,11,忠实复购客户
12577.0,34,3,657.8,3,3,3,9,忠实复购客户
12578.0,20,2,2794.51,4,2,5,11,忠实复购客户
12579.0,77,1,440.42,2,1,2,5,流失低价值客户
12580.0,245,1,415.7,1,1,2,4,流失低价值客户
12581.0,38,1,197.71,3,1,1,5,流失低价值客户
12582.0,237,2,511.36,1,2,3,6,沉睡预警客户
12583.0,1,15,7281.38,5,5,5,15,高价值客户
12584.0,2,9,2338.15,5,5,5,15,高价值客户
12585.0,233,2,2040.1,1,2,4,7,沉睡预警客户
12586.0,16,1,196.94000000000003,4,1,1,6,沉睡预警客户
12587.0,6,1,144.0,5,1,1,7,沉睡预警客户
12588.0,38,1,214.9,3,1,1,5,流失低价值客户
12589.0,27,2,646.68,4,2,3,9,忠实复购客户
12590.0,210,2,9864.26,1,2,5,8,沉睡预警客户
12591.0,316,1,452.85,1,1,2,4,流失低价值客户
12592.0,91,2,437.6,2,2,2,6,沉睡预警客户
12593.0,107,3,418.1,2,3,2,7,沉睡预警客户
12594.0,36,10,3338.2200000000003,3,5,5,13,高价值客户
12596.0,50,2,618.27,3,2,3,8,沉睡预警客户
12597.0,18,4,3811.22,4,4,5,13,高价值客户
12598.0,8,8,3023.08,5,5,5,15,高价值客户
12599.0,28,7,1032.58,4,5,4,13,高价值客户
12600.0,27,10,2599.04,4,5,5,14,高价值客户
12601.0,188,5,577.0600000000001,1,4,3,8,沉睡预警客户
12602.0,57,1,153.12,3,1,1,5,流失低价值客户
12603.0,20,1,739.1999999999999,4,1,3,8,沉睡预警客户
12604.0,78,2,254.18,2,2,2,6,沉睡预警客户
12607.0,59,1,1579.51,3,1,4,8,沉睡预警客户
12609.0,77,3,1126.85,2,3,4,9,忠实复购客户
12610.0,21,5,2099.54,4,4,5,13,高价值客户
12611.0,51,1,1193.32,3,1,4,8,沉睡预警客户
12612.0,73,1,704.0400000000001,2,1,3,6,沉睡预警客户
12613.0,56,5,3344.38,3,4,5,12,高价值客户
12614.0,276,1,315.6,1,1,2,4,流失低价值客户
12615.0,1,4,2291.19,5,4,5,14,高价值客户
12616.0,94,2,713.3,2,2,3,7,沉睡预警客户
12617.0,28,1,355.53,4,1,2,7,沉睡预警客户
12618.0,20,1,177.31,4,1,1,6,沉睡预警客户
12619.0,15,9,3641.24,4,5,5,14,高价值客户
12620.0,13,3,1339.41,4,3,4,11,忠实复购客户
12621.0,0,20,13689.67,5,5,5,15,高价值客户
12622.0,231,1,180.1,1,1,1,3,流失低价值客户
12623.0,275,1,305.1,1,1,2,4,流失低价值客户
12624.0,105,2,641.13,2,2,3,7,沉睡预警客户
12625.0,210,2,2683.82,1,2,5,8,沉睡预警客户
12626.0,22,9,6620.48,4,5,5,14,高价值客户
12627.0,9,7,4478.53,5,5,5,15,高价值客户
12628.0,3,3,786.46,5,3,3,11,忠实复购客户
12630.0,8,2,1270.88,5,2,4,11,忠实复购客户
12631.0,56,1,640.5,3,1,3,7,沉睡预警客户
12633.0,57,4,2163.98,3,4,5,12,高价值客户
12635.0,88,2,1689.18,2,2,4,8,沉睡预警客户
12637.0,66,8,6021.9,3,5,5,13,高价值客户
12638.0,32,1,671.69,3,1,3,7,沉睡预警客户
12639.0,237,1,486.1,1,1,2,4,流失低价值客户
12640.0,22,3,1174.58,4,3,4,11,忠实复购客户
12641.0,114,1,185.9,2,1,1,4,流失低价值客户
12642.0,24,3,1013.26,4,3,4,11,忠实复购客户
12643.0,127,6,3344.64,2,5,5,12,高价值客户
12644.0,128,1,477.91,2,1,2,5,流失低价值客户
12645.0,32,4,1775.18,3,4,4,11,忠实复购客户
12646.0,3,2,1346.97,5,2,4,11,忠实复购客户
12647.0,21,12,3722.82,4,5,5,14,高价值客户
12648.0,153,1,318.05,2,1,2,5,流失低价值客户
12649.0,106,3,623.51,2,3,3,8,沉睡预警客户
12650.0,2,1,314.44,5,1,2,8,沉睡预警客户
12651.0,333,1,114.0,1,1,1,3,流失低价值客户
12652.0,330,1,919.98,1,1,3,5,流失低价值客户
12653.0,147,2,2209.85,2,2,5,9,忠实复购客户
12654.0,9,5,601.98,5,4,3,12,高价值客户
12656.0,16,5,4051.17,4,4,5,13,高价值客户
12657.0,10,4,1643.18,5,4,4,13,高价值客户
12658.0,17,1,686.05,4,1,3,8,沉睡预警客户
12659.0,28,1,91.68,4,1,1,6,沉睡预警客户
12660.0,10,1,245.1,5,1,1,7,沉睡预警客户
12662.0,-1,11,3849.78,5,5,5,15,高价值客户
12664.0,7,9,4881.88,5,5,5,15,高价值客户
12665.0,323,1,63.0,1,1,1,3,流失低价值客户
12667.0,57,1,620.13,3,1,3,7,沉睡预警客户
12668.0,10,4,3807.15,5,4,5,14,高价值客户
12669.0,149,3,2744.03,2,3,5,10,忠实复购客户
12670.0,9,5,2996.05,5,4,5,14,高价值客户
12672.0,328,1,225.9,1,1,1,3,流失低价值客户
12673.0,4,2,610.52,5,2,3,10,忠实复购客户
12674.0,37,4,1970.6,3,4,4,11,忠实复购客户
12676.0,23,6,1331.39,4,5,4,13,高价值客户
12678.0,41,12,17628.46,3,5,5,13,高价值客户
12679.0,57,4,1113.02,3,4,4,11,忠实复购客户
12680.0,-1,4,862.81,5,4,3,12,高价值客户
12681.0,13,22,13787.54,4,5,5,14,高价值客户
12682.0,2,31,12288.22,5,5,5,15,高价值客户
12683.0,3,15,8476.57,5,5,5,15,高价值客户
12684.0,6,7,2283.63,5,5,5,15,高价值客户
12685.0,27,6,2863.08,4,5,5,14,高价值客户
12686.0,370,1,89.14,1,1,1,3,流失低价值客户
12688.0,112,1,4873.81,2,1,5,8,沉睡预警客户
12689.0,24,2,1247.61,4,2,4,10,忠实复购客户
12690.0,204,1,389.01,1,1,2,4,流失低价值客户
12691.0,27,6,1035.8,4,5,4,13,高价值客户
12693.0,126,4,855.91,2,4,3,9,忠实复购客户
12694.0,69,2,869.67,3,2,3,8,沉睡预警客户
12695.0,6,4,582.1,5,4,3,12,高价值客户
12697.0,27,3,957.59,4,3,4,11,忠实复购客户
12700.0,6,4,4939.99,5,4,5,14,高价值客户
12701.0,78,2,797.71,2,2,3,7,沉睡预警客户
12702.0,18,1,219.0,4,1,1,6,沉睡预警客户
12703.0,70,1,283.55,3,1,2,6,沉睡预警客户
12704.0,6,8,2340.84,5,5,5,15,高价值客户
12705.0,14,9,6868.29,4,5,5,14,高价值客户
12707.0,290,1,603.42,1,1,3,5,流失低价值客户
12708.0,28,10,2712.91,4,5,5,14,高价值客户
12709.0,14,15,9736.52,4,5,5,14,高价值客户
12710.0,95,3,1149.02,2,3,4,9,忠实复购客户
12712.0,27,13,4396.13,4,5,5,14,高价值客户
12713.0,-1,1,848.55,5,1,3,9,忠实复购客户
12714.0,8,5,4708.86,5,4,5,14,高价值客户
12715.0,105,1,353.86,2,1,2,5,流失低价值客户
12716.0,2,2,1053.49,5,2,4,11,忠实复购客户
12717.0,150,2,1030.98,2,2,4,8,沉睡预警客户
12718.0,70,1,238.25,3,1,1,5,流失低价值客户
12719.0,4,2,644.95,5,2,3,10,忠实复购客户
12720.0,1,25,5781.7300000000005,5,5,5,15,高价值客户
12721.0,30,6,2656.13,4,5,5,14,高价值客户
12722.0,84,4,997.63,2,4,4,10,忠实复购客户
12723.0,2,5,725.07,5,4,3,12,高价值客户
12724.0,4,4,1031.41,5,4,4,13,高价值客户
12725.0,370,1,427.8,1,1,2,4,流失低价值客户
12726.0,27,7,2609.1,4,5,5,14,高价值客户
12727.0,9,7,3980.7,5,5,5,15,高价值客户
12728.0,70,4,836.33,3,4,3,10,忠实复购客户
12729.0,112,1,453.01,2,1,2,5,流失低价值客户
12731.0,22,12,18895.91,4,5,5,14,高价值客户
12732.0,178,1,236.26,2,1,1,4,流失低价值客户
12733.0,233,1,383.95,1,1,2,4,流失低价值客户
12734.0,351,1,110.4,1,1,1,3,流失低价值客户
12735.0,314,2,779.5699999999999,1,2,3,6,沉睡预警客户
12736.0,331,1,234.0,1,1,1,3,流失低价值客户
12738.0,371,1,155.35,1,1,1,3,流失低价值客户
12739.0,77,2,1013.04,2,2,4,8,沉睡预警客户
12740.0,62,1,427.6,3,1,2,6,沉睡预警客户
12743.0,133,2,546.43,2,2,3,7,沉睡预警客户
12744.0,50,7,21279.29,3,5,5,13,高价值客户
12747.0,1,11,4196.01,5,5,5,15,高价值客户
12748.0,-1,210,33719.73,5,5,5,15,高价值客户
12749.0,2,5,4090.88,5,4,5,14,高价值客户
12750.0,127,1,275.88,2,1,2,5,流失低价值客户
12752.0,80,1,4366.78,2,1,5,8,沉睡预警客户
12753.0,21,6,21429.39,4,5,5,14,高价值客户
12754.0,234,3,3010.74,1,3,5,9,忠实复购客户
12755.0,279,2,3811.95,1,2,5,8,沉睡预警客户
12756.0,85,1,112.08,2,1,1,4,流失低价值客户
12757.0,14,13,7857.1,4,5,5,14,高价值客户
12758.0,115,2,2791.59,2,2,5,9,忠实复购客户
12759.0,51,3,1531.44,3,3,4,10,忠实复购客户
12762.0,6,2,1898.52,5,2,4,11,忠实复购客户
12763.0,137,2,494.08,2,2,3,7,沉睡预警客户
12764.0,315,1,1693.88,1,1,4,6,沉睡预警客户
12766.0,2,7,6989.63,5,5,5,15,高价值客户
12769.0,237,1,1143.6,1,1,4,6,沉睡预警客户
12770.0,209,1,1351.45,1,1,4,6,沉睡预警客户
12772.0,58,1,892.47,3,1,3,7,沉睡预警客户
12775.0,16,5,1386.04,4,4,4,12,高价值客户
12778.0,18,6,822.23,4,5,3,12,高价值客户
12779.0,36,8,3981.36,3,5,5,13,高价值客户
12781.0,62,2,826.74,3,2,3,8,沉睡预警客户
12782.0,3,5,2330.92,5,4,5,14,高价值客户
12783.0,1,6,2225.91,5,5,5,15,高价值客户
12784.0,8,2,574.42,5,2,3,10,忠实复购客户
12785.0,363,1,311.95,1,1,2,4,流失低价值客户
12787.0,8,3,463.66,5,3,2,10,忠实复购客户
12789.0,64,1,91.85,3,1,1,5,流失低价值客户
12790.0,191,1,324.92,1,1,2,4,流失低价值客户
12791.0,372,1,192.6,1,1,1,3,流失低价值客户
12792.0,255,1,400.54,1,1,2,4,流失低价值客户
12793.0,333,2,545.48,1,2,3,6,沉睡预警客户
12794.0,52,2,860.41,3,2,3,8,沉睡预警客户
12795.0,17,1,430.48,4,1,2,7,沉睡预警客户
12797.0,364,1,254.03,1,1,2,4,流失低价值客户
12798.0,9,3,6977.04,5,3,5,13,高价值客户
12802.0,185,1,427.58,1,1,2,4,流失低价值客户
12808.0,35,3,483.65,3,3,2,8,沉睡预警客户
12809.0,176,1,489.31,2,1,2,5,流失低价值客户
12811.0,259,3,514.85,1,3,3,7,沉睡预警客户
12812.0,43,1,229.64,3,1,1,5,流失低价值客户
12814.0,100,1,125.92,2,1,1,4,流失低价值客户
12815.0,146,2,1063.46,2,2,4,8,沉睡预警客户
12816.0,94,2,572.2,2,2,3,7,沉睡预警客户
12817.0,280,1,166.04,1,1,1,3,流失低价值客户
12818.0,260,1,1542.0800000000002,1,1,4,6,沉睡预警客户
12820.0,2,4,942.34,5,4,4,13,高价值客户
12821.0,213,1,92.72,1,1,1,3,流失低价值客户
12822.0,69,2,948.88,3,2,4,9,忠实复购客户
12823.0,73,5,1759.5,2,4,4,10,忠实复购客户
12824.0,58,1,397.12,3,1,2,6,沉睡预警客户
12826.0,1,7,1474.72,5,5,4,14,高价值客户
12827.0,4,3,430.15,5,3,2,10,忠实复购客户
12828.0,1,6,1018.71,5,5,4,14,高价值客户
12829.0,335,2,293.0,1,2,2,5,流失低价值客户
12830.0,36,6,6814.64,3,5,5,13,高价值客户
12831.0,261,1,215.05,1,1,1,3,流失低价值客户
12832.0,31,2,383.03,4,2,2,8,沉睡预警客户
12833.0,144,1,417.38,2,1,2,5,流失低价值客户
12834.0,281,1,312.38,1,1,2,4,流失低价值客户
12836.0,58,4,2612.86,3,4,5,12,高价值客户
12837.0,172,1,134.1,2,1,1,4,流失低价值客户
12838.0,32,2,683.13,3,2,3,8,沉睡预警客户
12839.0,1,14,5591.42,5,5,5,15,高价值客户
12840.0,142,4,2726.77,2,4,5,11,忠实复购客户
12841.0,3,25,4022.35,5,5,5,15,高价值客户
12842.0,69,2,1118.99,3,2,4,9,忠实复购客户
12843.0,64,8,1702.26,3,5,4,12,高价值客户
12844.0,28,2,325.96000000000004,4,2,2,8,沉睡预警客户
12845.0,266,4,354.09,1,4,2,7,沉睡预警客户
12847.0,21,1,871.54,4,1,3,8,沉睡预警客户
12849.0,30,2,1050.89,4,2,4,10,忠实复购客户
12851.0,95,1,135.18,2,1,1,4,流失低价值客户
12852.0,293,1,311.55,1,1,2,4,流失低价值客户
12853.0,133,6,1957.1,2,5,4,11,忠实复购客户
12854.0,77,3,1324.5,2,3,4,9,忠实复购客户
12855.0,371,1,38.1,1,1,1,3,流失低价值客户
12856.0,6,6,2179.93,5,5,5,15,高价值客户
12857.0,209,2,1106.4,1,2,4,7,沉睡预警客户
12863.0,51,1,521.2,3,1,3,7,沉睡预警客户
12864.0,137,1,147.12,2,1,1,4,流失低价值客户
12865.0,25,2,1568.23,4,2,4,10,忠实复购客户
12866.0,282,1,559.12,1,1,3,5,流失低价值客户
12867.0,25,7,4036.82,4,5,5,14,高价值客户
12868.0,184,6,1607.0600000000002,1,5,4,10,忠实复购客户
12871.0,83,2,380.64,2,2,2,6,沉睡预警客户
12872.0,325,2,599.97,1,2,3,6,沉睡预警客户
12873.0,281,1,374.0,1,1,2,4,流失低价值客户
12875.0,142,2,343.2300000000001,2,2,2,6,沉睡预警客户
12876.0,56,2,2218.02,3,2,5,10,忠实复购客户
12877.0,2,12,1535.77,5,5,4,14,高价值客户
12878.0,235,2,854.99,1,2,3,6,沉睡预警客户
12879.0,43,3,573.22,3,3,3,9,忠实复购客户
12881.0,274,1,298.0,1,1,2,4,流失低价值客户
12882.0,8,2,1463.04,5,2,4,11,忠实复购客户
12883.0,23,4,703.47,4,4,3,11,忠实复购客户
12884.0,87,1,309.05,2,1,2,5,流失低价值客户
12885.0,62,3,1175.22,3,3,4,10,忠实复购客户
12886.0,66,2,1378.4,3,2,4,9,忠实复购客户
12888.0,213,2,354.12,1,2,2,5,流失低价值客户
12890.0,23,1,380.47,4,1,2,7,沉睡预警客户
12891.0,184,3,331.0,1,3,2,6,沉睡预警客户
12893.0,29,1,188.14,4,1,1,6,沉睡预警客户
12895.0,41,2,372.8,3,2,2,7,沉睡预警客户
12897.0,203,2,216.5,1,2,1,4,流失低价值客户
12901.0,7,28,17654.54,5,5,5,15,高价值客户
12902.0,263,1,138.68,1,1,1,3,流失低价值客户
12904.0,17,2,509.58,4,2,3,9,忠实复购客户
12906.0,10,5,2919.81,5,4,5,14,高价值客户
12908.0,175,2,750.0,2,2,3,7,沉睡预警客户
12909.0,38,5,2178.67,3,4,5,12,高价值客户
12910.0,22,8,3075.04,4,5,5,14,高价值客户
12912.0,1,5,1662.3,5,4,4,13,高价值客户
12913.0,3,5,2483.63,5,4,5,14,高价值客户
12915.0,147,2,363.65,2,2,2,6,沉睡预警客户
12916.0,137,4,3006.15,2,4,5,11,忠实复购客户
12917.0,127,1,594.0,2,1,3,6,沉睡预警客户
12919.0,7,6,1335.19,5,5,4,14,高价值客户
12920.0,16,1,164.23,4,1,1,6,沉睡预警客户
12921.0,8,37,16587.09,5,5,5,15,高价值客户
12922.0,160,1,405.38,2,1,2,5,流失低价值客户
12923.0,63,1,176.97,3,1,1,5,流失低价值客户
12924.0,87,4,933.7,2,4,3,9,忠实复购客户
12925.0,3,2,694.05,5,2,3,10,忠实复购客户
12928.0,34,5,2062.7000000000003,3,4,5,12,高价值客户
12929.0,310,1,117.85,1,1,1,3,流失低价值客户
12930.0,77,2,415.8,2,2,2,6,沉睡预警客户
12931.0,20,15,42055.96,4,5,5,14,高价值客户
12933.0,23,3,607.53,4,3,3,10,忠实复购客户
12935.0,1,7,2160.7,5,5,5,15,高价值客户
12936.0,16,4,1063.9,4,4,4,12,高价值客户
12937.0,14,4,1504.27,4,4,4,12,高价值客户
12938.0,24,1,114.14,4,1,1,6,沉睡预警客户
12939.0,63,8,11581.8,3,5,5,13,高价值客户
12940.0,53,2,913.54,3,2,3,8,沉睡预警客户
12942.0,130,3,683.9,2,3,3,8,沉睡预警客户
12944.0,34,2,604.51,3,2,3,8,沉睡预警客户
12945.0,287,1,462.95,1,1,2,4,流失低价值客户
12947.0,142,6,1603.99,2,5,4,11,忠实复购客户
12948.0,15,7,2064.95,4,5,5,14,高价值客户
12949.0,29,8,4167.22,4,5,5,14,高价值客户
12950.0,1,3,1843.0,5,3,4,12,高价值客户
12951.0,7,6,1064.07,5,5,4,14,高价值客户
12952.0,4,4,1387.79,5,4,4,13,高价值客户
12953.0,8,1,329.85,5,1,2,8,沉睡预警客户
12955.0,0,11,4757.16,5,5,5,15,高价值客户
12956.0,305,1,108.07,1,1,1,3,流失低价值客户
